star_rating,title,content_rating,genre,duration,actors_list
8.5,Django Unchained,R,Western,165,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']"
8.5,3 Idiots,PG-13,Comedy,170,"['Aamir Khan', 'Madhavan', 'Mona Singh']"
8.5,Grave of the Fireflies,UNRATED,Animation,89,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi']"
8.5,The Shining,R,Horror,146,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']"
8.4,M,NOT RATED,Crime,99,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']"
8.4,WALL-E,G,Animation,98,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']"
8.4,Witness for the Prosecution,APPROVED,Crime,116,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']"
8.4,Munna Bhai M.B.B.S.,NOT RATED,Comedy,156,"['Sunil Dutt', 'Sanjay Dutt', 'Arshad Warsi']"
8.4,American Beauty,R,Drama,122,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']"
8.4,Das Boot,R,Adventure,149,"['J\xfcrgen Prochnow', 'Herbert Gr\xf6nemeyer', 'Klaus Wennemann']"
8.4,Princess Mononoke,PG-13,Animation,134,"['Y\xf4ji Matsuda', 'Yuriko Ishida', 'Y\xfbko Tanaka']"
8.4,Amelie,R,Comedy,122,"['Audrey Tauto', 'Mathieu Kassovitz', 'Rufus']"
8.4,North by Northwest,APPROVED,Adventure,136,"['Cary Grant', 'Eva Marie Saint', 'James Mason']"
8.4,Rang De Basanti,NOT RATED,Drama,157,"['Aamir Khan', 'Soha Ali Khan', 'Siddharth']"
8.4,Jodaeiye Nader az Simin,PG-13,Drama,123,"['Peyman Moaadi', 'Leila Hatami', 'Sareh Bayat']"
8.4,Citizen Kane,APPROVED,Drama,119,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']"
8.4,Aliens,R,Action,137,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']"
8.4,Vertigo,APPROVED,Mystery,128,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']"
8.4,Oldeuboi,R,Drama,120,"['Min-sik Choi', 'Ji-tae Y', 'Hye-jeong Kang']"
8.4,Once Upon a Time in America,R,Crime,229,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']"
8.4,Double Indemnity,PASSED,Crime,107,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']"
8.4,Star Wars: Episode VI - Return of the Jedi,PG,Action,134,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
8.4,Toy Story 3,G,Animation,103,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']"
8.4,Braveheart,R,Action,177,"['Mel Gibson', 'Sophie Marcea', 'Patrick McGoohan']"
8.4,To Kill a Mockingbird,NOT RATED,Drama,129,"['Gregory Peck', 'John Megna', 'Frank Overton']"
8.4,Requiem for a Dream,R,Drama,102,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']"
8.4,Lawrence of Arabia,PG,Adventure,216,"[u""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']"
8.4,A Clockwork Orange,X,Crime,136,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']"
8.4,Bicycle Thieves,NOT RATED,Drama,93,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']"
8.4,The Kid,NOT RATED,Comedy,68,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan']"
8.4,Swades,NOT RATED,Drama,189,"['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Balal']"
8.4,Reservoir Dogs,R,Crime,99,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']"
8.4,Eternal Sunshine of the Spotless Mind,R,Drama,108,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']"
8.4,Taxi Driver,R,Crime,113,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']"
8.4,Dilwale Dulhania Le Jayenge,NOT RATED,Comedy,181,"['Shah Rukh Khan', 'Kajol', 'Amrish Puri']"
8.4,Singin' in the Rain,APPROVED,Comedy,103,"['Gene Kelly', u""Donald O'Connor"", 'Debbie Reynolds']"
8.4,All About Eve,APPROVED,Drama,138,"['Bette Davis', 'Anne Baxter', 'George Sanders']"
8.4,Yojimbo,UNRATED,Action,110,"['Toshir\xf4 Mifune', 'Eijir\xf4 T\xf4no', 'Tatsuya Nakadai']"
8.4,The Sting,PG,Comedy,129,"['Paul Newman', 'Robert Redford', 'Robert Shaw']"
8.4,Rashomon,UNRATED,Crime,88,"['Toshir\xf4 Mifune', 'Machiko Ky\xf4', 'Masayuki Mori']"
8.4,Amadeus,R,Biography,160,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']"
8.3,The Treasure of the Sierra Madre,NOT RATED,Action,126,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt']"
8.3,Monty Python and the Holy Grail,PG,Adventure,91,"['Graham Chapman', 'John Cleese', 'Eric Idle']"
8.3,Full Metal Jacket,R,Drama,116,"['Matthew Modine', 'R. Lee Ermey', u""Vincent D'Onofrio""]"
8.3,The Apartment,APPROVED,Comedy,125,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']"
8.3,Ikiru,NOT RATED,Drama,143,"['Takashi Shimura', 'Nobuo Kaneko', u""Shin'ichi Himori""]"
8.3,The Third Man,NOT RATED,Film-Noir,93,"['Orson Welles', 'Joseph Cotten', 'Alida Valli']"
8.3,Snatch.,R,Comedy,102,"['Jason Statham', 'Brad Pitt', 'Benicio Del Toro']"
8.3,For a Few Dollars More,APPROVED,Western,132,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volont\xe9']"
8.3,Metropolis,NOT RATED,Drama,153,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fr\xf6hlich']"
8.3,Dil Chahta Hai,NOT RATED,Comedy,183,"['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna']"
8.3,2001: A Space Odyssey,G,Mystery,160,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']"
8.3,Some Like It Hot,NOT RATED,Comedy,120,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']"
8.3,L.A. Confidential,R,Crime,138,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']"
8.3,Batman Begins,PG-13,Action,140,"['Christian Bale', 'Michael Caine', 'Ken Watanabe']"
8.3,Inglourious Basterds,R,Adventure,153,"['Brad Pitt', 'Diane Kruger', 'Eli Roth']"
8.3,Scarface,R,Crime,170,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer']"
8.3,Mr. Smith Goes to Washington,NOT RATED,Drama,129,"['James Stewart', 'Jean Arthur', 'Claude Rains']"
8.3,Toy Story,G,Animation,81,"['Tom Hanks', 'Tim Allen', 'Don Rickles']"
8.3,Indiana Jones and the Last Crusade,PG-13,Action,127,"['Harrison Ford', 'Sean Connery', 'Alison Doody']"
8.3,Unforgiven,R,Western,131,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']"
8.3,The Great Escape,UNRATED,Adventure,172,"['Steve McQueen', 'James Garner', 'Richard Attenborough']"
8.3,Jagten,R,Drama,115,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']"
8.3,On the Waterfront,NOT RATED,Crime,108,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb']"
8.3,The General,UNRATED,Action,107,"['Buster Keaton', 'Marion Mack', 'Glen Cavender']"
8.3,Raging Bull,R,Biography,129,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']"
8.3,Downfall,R,Biography,156,"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes']"
8.3,Up,PG,Animation,96,"['Edward Asner', 'Jordan Nagai', 'John Ratzenberger']"
8.3,Wild Strawberries,UNRATED,Drama,91,"['Victor Sj\xf6str\xf6m', 'Bibi Andersson', 'Ingrid Thulin']"
8.3,The Gold Rush,NOT RATED,Adventure,95,"['Charles Chaplin', 'Mack Swain', 'Tom Murray']"
8.3,Ran,R,Action,162,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nez']"
8.3,Chinatown,R,Drama,130,"['Jack Nicholson', 'Faye Dunaway', 'John Huston']"
8.3,My Neighbor Totoro,G,Animation,86,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto']"
8.3,Judgment at Nuremberg,NOT RATED,Drama,186,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark']"
8.3,Barfi!,NOT RATED,Adventure,151,"['Ranbir Kapoor', 'Priyanka Chopra', 'Ileana']"
8.3,The Seventh Seal,NOT RATED,Drama,96,"['Max von Sydow', 'Gunnar Bj\xf6rnstrand', 'Bengt Ekerot']"
8.3,Heat,R,Action,170,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']"
8.3,Pan's Labyrinth,R,Drama,118,"['Ivana Baquero', 'Ariadna Gil', 'Sergi L\xf3pez']"
8.3,The Bridge on the River Kwai,PG,Adventure,161,"['William Holden', 'Alec Guinness', 'Jack Hawkins']"
8.3,Die Hard,R,Action,131,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']"
8.3,Good Will Hunting,R,Drama,126,"['Robin Williams', 'Matt Damon', 'Ben Affleck']"
8.3,The Wages of Fear,NOT RATED,Adventure,131,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck']"
8.3,The Secret in Their Eyes,R,Drama,129,"['Ricardo Dar\xedn', 'Soledad Villamil', 'Pablo Rago']"
8.3,Lagaan: Once Upon a Time in India,PG,Adventure,224,"['Aamir Khan', 'Gracy Singh', 'Rachel Shelley']"
8.2,The Wolf of Wall Street,R,Biography,180,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']"
8.2,It Happened One Night,UNRATED,Comedy,105,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly']"
8.2,Blade Runner,R,Sci-Fi,117,"['Harrison Ford', 'Rutger Hauer', 'Sean Young']"
8.2,Warrior,PG-13,Drama,140,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton']"
8.2,Howl's Moving Castle,PG,Animation,119,"['Chieko Baish\xf4', 'Takuya Kimura', 'Tatsuya Gash\xfbin']"
8.2,The Elephant Man,PG,Biography,124,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']"
8.2,Rebecca,NOT RATED,Mystery,130,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders']"
8.2,Incendies,R,Drama,139,"['Lubna Azabal', 'M\xe9lissa D\xe9sormeaux-Poulin', 'Maxim Gaudette']"
8.2,"Lock, Stock and Two Smoking Barrels",R,Comedy,107,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran']"
8.2,V for Vendetta,R,Action,132,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves']"
8.2,The Big Lebowski,R,Comedy,117,"['Jeff Bridges', 'John Goodman', 'Julianne Moore']"
8.2,Cool Hand Luke,PG,Crime,126,"['Paul Newman', 'George Kennedy', 'Strother Martin']"
8.2,Relatos salvajes,R,Comedy,122,"['Dar\xedo Grandinetti', 'Mar\xeda Marull', 'M\xf3nica Villa']"
8.2,Casino,R,Biography,178,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']"
8.2,Gone with the Wind,G,Drama,238,"['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell']"
8.2,Gone Girl,R,Drama,149,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']"
8.2,The Best Years of Our Lives,PASSED,Drama,172,"['Fredric March', 'Dana Andrews', 'Myrna Loy']"
8.2,How to Train Your Dragon,PG,Animation,98,"['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse']"
8.2,Diabolique,UNRATED,Horror,116,"['Simone Signoret', 'V\xe9ra Clouzot', 'Paul Meurisse']"
8.2,Gran Torino,R,Drama,116,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley']"
8.2,Rush,R,Action,123,"['Daniel Br\xfchl', 'Chris Hemsworth', 'Olivia Wilde']"
8.2,Into the Wild,R,Adventure,148,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener']"
8.2,My Sassy Girl,NOT RATED,Comedy,123,"['Tae-hyun Cha', 'Gianna Jun', 'In-mun Kim']"
8.2,The Deer Hunter,R,Drama,182,"['Robert De Niro', 'Christopher Walken', 'John Cazale']"
8.2,Mary and Max,NOT RATED,Animation,92,"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana']"
8.2,Hachi: A Dog's Tale,G,Drama,93,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa']"
8.2,The Maltese Falcon,NOT RATED,Crime,100,"['Humphrey Bogart', 'Mary Astor', 'Gladys George']"
8.2,A Beautiful Mind,PG-13,Biography,135,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']"
8.2,Dial M for Murder,PG,Crime,105,"['Ray Milland', 'Grace Kelly', 'Robert Cummings']"
8.2,Trainspotting,R,Drama,94,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']"
8.2,Tae Guk Gi: The Brotherhood of War,R,Action,140,"['Dong-gun Jang', 'Bin Won', 'Eun-ju Lee']"
8.2,Persona,NOT RATED,Drama,83,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook']"
8.2,Touch of Evil,PG-13,Crime,95,"['Charlton Heston', 'Orson Welles', 'Janet Leigh']"
8.2,Fargo,R,Crime,98,"['William H. Macy', 'Frances McDormand', 'Steve Buscemi']"
8.2,The Avengers,PG-13,Action,143,"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson']"
8.2,The 400 Blows,NOT RATED,Crime,99,"['Jean-Pierre L\xe9aud', 'Albert R\xe9my', 'Claire Maurier']"
8.2,The Princess Bride,PG,Adventure,98,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright']"
8.2,Hotel Rwanda,PG-13,Drama,121,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix']"
8.2,Stalker,NOT RATED,Drama,163,"['Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn']"
8.2,The Battle of Algiers,NOT RATED,Crime,121,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi']"
8.2,Underground,NOT RATED,Comedy,167,"['Predrag Manojlovic', 'Lazar Ristovski', 'Mirjana Jokovic']"
8.2,Fanny and Alexander,R,Drama,188,"['Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson']"
8.2,Network,R,Drama,121,"['Faye Dunaway', 'William Holden', 'Peter Finch']"
8.2,The Thing,R,Horror,109,"['Kurt Russell', 'Wilford Brimley', 'Keith David']"
8.2,Butch Cassidy and the Sundance Kid,,Biography,110,"['Paul Newman', 'Robert Redford', 'Katharine Ross']"
8.2,The Grapes of Wrath,NOT RATED,Drama,129,"['Henry Fonda', 'Jane Darwell', 'John Carradine']"
8.2,"Black Cat, White Cat",R,Comedy,127,"['Bajram Severdzan', 'Srdjan Todorovic', 'Branka Katic']"
8.2,Life of Brian,R,Comedy,94,"['Graham Chapman', 'John Cleese', 'Michael Palin']"
8.2,The Sixth Sense,PG-13,Drama,107,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']"
8.2,Finding Nemo,G,Animation,100,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']"
8.2,Nausicaa of the Valley of the Wind,PG,Animation,117,"['Sumi Shimamoto', 'Mahito Tsujimura', 'Hisako Ky\xf4da']"
8.1,Kingsman: The Secret Service,R,Action,129,"['Colin Firth', 'Taron Egerton', 'Samuel L. Jackson']"
8.1,Platoon,R,Drama,120,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe']"
8.1,Guardians of the Galaxy,PG-13,Action,121,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper']"
8.1,In the Name of the Father,R,Biography,133,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie']"
8.1,Kill Bill: Vol. 1,R,Action,111,"['Uma Thurman', 'David Carradine', 'Daryl Hannah']"
8.1,No Country for Old Men,R,Crime,122,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']"
8.1,Le Samourai,PG,Crime,101,"['Alain Delon', 'Nathalie Delon', 'Fran\xe7ois P\xe9rier']"
8.1,12 Years a Slave,R,Biography,134,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender']"
8.1,La leggenda del pianista sull'oceano,R,Drama,165,"['Tim Roth', 'Pruitt Taylor Vince', 'Bill Nunn']"
8.1,8 1/2,NOT RATED,Drama,138,"['Marcello Mastroianni', 'Anouk Aim\xe9e', 'Claudia Cardinale']"
8.1,Ben-Hur,G,Adventure,212,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd']"
8.1,Amores Perros,R,Drama,154,"['Emilio Echevarr\xeda', 'Gael Garc\xeda Bernal', 'Goya Toledo']"
8.1,Stand by Me,R,Adventure,89,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman']"
8.1,What Ever Happened to Baby Jane?,APPROVED,Drama,134,"['Bette Davis', 'Joan Crawford', 'Victor Buono']"
8.1,Annie Hall,PG,Comedy,93,"['Woody Allen', 'Diane Keaton', 'Tony Roberts']"
8.1,The Imitation Game,PG-13,Biography,114,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode']"
8.1,Laura,APPROVED,Film-Noir,88,"['Gene Tierney', 'Dana Andrews', 'Clifton Webb']"
8.1,Departures,PG-13,Drama,130,"['Masahiro Motoki', 'Ry\xf4ko Hirosue', 'Tsutomu Yamazaki']"
8.1,Infernal Affairs,R,Crime,101,"['Andy La', 'Tony Chiu Wai Leung', 'Anthony Chau-Sang Wong']"
8.1,There Will Be Blood,R,Drama,158,"['Daniel Day-Lewis', 'Paul Dano', 'Ciar\xe1n Hinds']"
8.1,The Grand Budapest Hotel,R,Adventure,99,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric']"
8.1,La Strada,NOT RATED,Drama,108,"['Anthony Quinn', 'Giulietta Masina', 'Richard Basehart']"
8.1,Sin City,R,Crime,124,"['Mickey Rourke', 'Clive Owen', 'Bruce Willis']"
8.1,Memories of Murder,UNRATED,Crime,132,"['Kang-ho Song', 'Sang-kyung Kim', 'Roe-ha Kim']"
8.1,Donnie Darko,R,Drama,113,"['Jake Gyllenhaal', 'Jena Malone', 'Mary McDonnell']"
8.1,Who's Afraid of Virginia Woolf?,TV-MA,Drama,131,"['Elizabeth Taylor', 'Richard Burton', 'George Segal']"
8.1,Gandhi,PG,Biography,191,"['Ben Kingsley', 'John Gielgud', 'Candice Bergen']"
8.1,Solaris,PG,Drama,167,"['Natalya Bondarchuk', 'Donatas Banionis', 'J\xfcri J\xe4rvet']"
8.1,Harry Potter and the Deathly Hallows: Part 2,PG-13,Adventure,130,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']"
8.1,"Paris, Texas",R,Drama,147,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell']"
8.1,The Wizard of Oz,PASSED,Adventure,102,"['Judy Garland', 'Frank Morgan', 'Ray Bolger']"
8.1,3-Iron,R,Crime,88,"['Seung-yeon Lee', 'Hyun-kyoon Lee', 'Hyuk-ho Kwon']"
8.1,Boyhood,R,Drama,165,"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke']"
8.1,Million Dollar Baby,PG-13,Drama,132,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman']"
8.1,The Last Picture Show,R,Drama,118,"['Timothy Bottoms', 'Jeff Bridges', 'Cybill Shepherd']"
8.1,Strangers on a Train,APPROVED,Crime,101,"['Farley Granger', 'Robert Walker', 'Ruth Roman']"
8.1,Cat on a Hot Tin Roof,APPROVED,Drama,108,"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives']"
8.1,La Dolce Vita,NOT RATED,Comedy,174,"['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aim\xe9e']"
8.1,Chungking Express,PG-13,Drama,98,"['Brigitte Lin', 'Takeshi Kaneshiro', 'Tony Chiu Wai Leung']"
8.1,The Night of the Hunter,APPROVED,Crime,92,"['Robert Mitchum', 'Shelley Winters', 'Lillian Gish']"
8.1,La Haine,NOT RATED,Crime,98,"['Vincent Cassel', 'Hubert Kound\xe9', 'Sa\xefd Taghmaoui']"
8.1,Yip Man,R,Action,106,"['Donnie Yen', 'Simon Yam', 'Siu-Wong Fan']"
8.1,High Noon,PG,Western,85,"['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell']"
8.1,Notorious,APPROVED,Drama,101,"['Cary Grant', 'Ingrid Bergman', 'Claude Rains']"
8.1,Before Sunrise,R,Drama,105,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']"
8.1,Elite Squad: The Enemy Within,UNRATED,Action,115,"['Wagner Moura', 'Irandhir Santos', 'Andr\xe9 Ramiro']"
8.1,The Bourne Ultimatum,PG-13,Action,115,"['Matt Damon', '\xc9dgar Ram\xedrez', 'Joan Allen']"
